__label__1 , The European Union includes how many ?
__label__2 , What is the natural temperature on earth ?
__label__1 , What is the top 5 songs the jackson 5 made ?
__label__1 , When the The Gulf War start ?
__label__1 , Animals which eat plants are called ?
__label__1 , Most intriguing character in act 2 of the crucible ?
__label__1 , What is in he krabby patty recipe ?
__label__2 , How high did Tom Brady jump at the combine ?
__label__1 , Where is the thermostat on 1997 ford f150 ?
__label__2 , What is the rule in electric charges ?
__label__2 , How do pandas breath ?
__label__2 , What is ms Fishers homework today ?
__label__1 , How many total players on a hockey team ?
__label__1 , What countrys border arizona ?
__label__1 , Do hamsters like alot of room ?
__label__2 , Do dogs like jello ?
__label__1 , What is the heightof mount everest ?
__label__2 , How many body parts does it have ?
__label__1 , How is the money made from the medieval ages ?
__label__1 , What does the name donald name ?
__label__1 , How do you be hornie ?
__label__1 , How much legs do cylinder millipedes have ?
__label__2 , What were ww1 eating tins used for ?
__label__1 , How many members on basketball team ?
__label__2 , What is small osteophytes in the medial joint ?
__label__2 , What was the cause of mauna loa ?
__label__1 , Members and represtatives of congress of vienna ?
__label__1 , What is 5 gallon of a liter ?
__label__2 , What are the three areas of volcanism ?
__label__1 , Where is yale universit located ?
__label__1 , Where do mermaids live in exact ?
__label__2 , What is the name of the dog on Peter Pan ?
__label__2 , What is the role of a uterus lining ?
__label__2 , What is the percentage of urine in lake michagan ?
__label__2 , What are two major rivers in Washington ?
__label__2 , Is jesse martin gay ?
__label__2 , Where is the ` birthplace ' of democracy ?
__label__1 , Where jaden live jaden smith ?
__label__2 , How much is a reg stamp ?
__label__2 , How much does a title search cost ?
__label__1 , Hw fast is a jet plane ?
__label__2 , How do you get the ar to work ?
__label__1 , 1910 one penny worth ?
__label__2 , What is the symptom of bad rings ?
__label__2 , Who are Mercator Robinson and Homoiosine ?
__label__2 , Who invented the leibniz ?
__label__2 , Which elements are monatomic ?
__label__2 , How many calories are in a cup of zuchini ?
__label__1 , What are some advantages of useing coal as a energy form ?
__label__1 , How do you change your mouse to defalt ?
__label__1 , Prix-fixe pre fix menu ?
__label__1 , Comparative analysis ?
__label__1 , How much is 5pounds english money in swedish money ?
__label__2 , How do you become a ninja monkey on runescape ?
__label__2 , How much does a mechanic at ford earn ?
__label__1 , Can you meet hannah personaly ?
__label__2 , What date does Ganesh Chaturthi fall on ?
__label__1 , How many oscars have tom hanks ?
__label__1 , Where do snow leapards live in ?
__label__1 , What is paraguans average pay ?
__label__1 , What is the words greatest archipelago ?
__label__2 , What is Fallacy of Relevance ?
__label__2 , Where does emulsifier 481 come from ?
__label__1 , When was the first haockey puck invented ?
__label__1 , Interesting facts about dessert grassland ?
__label__1 , How much is a 1970 silver half sollar worth ?
__label__1 , What continent is the Bering sea located ?
__label__2 , How many episodes aired of theTV series Friends ?
__label__2 , How much does a good doctor get paid ?
__label__2 , When was the first airplane created ?
__label__1 , Raven Symone sister of Lisa Raye ?
__label__1 , What is the boiling point of juice apple ?
__label__2 , What coins are most valuable ?
__label__1 , A brief description of the major economic activity in new york ?
__label__2 , What is the meaning of tithing ?
__label__1 , Are your aware about the animal rights ?
__label__1 , Who in invented the military tank ?
__label__1 , How many wind pipes dp you have ?
__label__1 , Standard deviation of the dependent variable ?
__label__2 , What is teak used for ?
__label__2 , What are two inventions that Galileo invented ?
__label__2 , What is the 24th amendment an extension of ?
__label__2 , What temperature in C should your refrigerator be at ?
__label__2 , What did Gregory Mendel do for science ?
__label__1 , What is curtis jackson msn ?
__label__2 , What are the main ingredeints of plum pudding ?
__label__1 , Religion affiflation of virginia ?
__label__1 , The population of men in prison ?
__label__2 , What are the paint codes for a 2003 suzuki V-Strom ?
__label__1 , What do capillaries function to ?
__label__2 , How long does it take to digest chicken or fish ?
__label__2 , Where does Sidney Crosbys family live ?
__label__1 , Hats the compound of paper ?
__label__1 , 6 facts on majorca ?
__label__2 , What is the value of a us 1918 half dollar ?
__label__1 , What did the coast guard start ?
__label__1 , Where does ants eat ?
__label__1 , How is the economy like in egypt ?
__label__1 , What is the main city of the small country Singapore ?
__label__2 , What are the properties of aluminium ?
__label__2 , What inspired michael jackson to write billie jean ?
__label__2 , Where did hippo originate ?
__label__2 , Where is parathyroid located ?
__label__2 , Do grapes come from ireland ?
__label__1 , Wno bought first hummer a list ?
__label__2 , Where do flies go for winter time ?
__label__1 , When did laura ahsley die ?
__label__1 , What city in europe can you see the highest point ?
__label__2 , Has tiffany thornton kissed litchel musso ?
__label__1 , Are fish producers consumers or decomposers ?
__label__2 , Melting point of beeswax in celsius ?
__label__2 , What is the main goal of quality circles ?
__label__1 , Where dos a fairy live ?
__label__2 , What is tiger woods average yardage with a driver ?
__label__2 , How do you remove the headlight assembley on a 2000 toyota celica ?
__label__2 , What is the weakest point of a tornado ?
__label__2 , What are tony hawks accomplishments ?
__label__2 , How much does a surgeon earn every surgery ?
__label__2 , Are there any museums named after Nikola Tesla ?
__label__1 , Aaron rodgers play in college ?
__label__1 , What is japan 's main imports ' ?
__label__2 , What is the real name for johnny appleseed ?
__label__2 , What is the typical heart rate for a teen ?
__label__1 , In what year did ecuador gain independent ?
__label__2 , How did mother teresa 's accomplishment make the world a better place ?
__label__2 , How many stingrays are in a fever of stingrays ?
__label__1 , The effect of temperature on yeast cells ?
__label__1 , How do you beat the case of the avalanche rescuecase on club penguin ?
__label__2 , What is a pandas natural predator ?
__label__2 , When did pac-man first come out ?
__label__1 , What do mean by differentiation ?
__label__2 , How did american popular culture influence motor vehicles in australia during the 1950 's and 60 's ?
__label__1 , Where is sidney crosbys home town ?
__label__1 , What inspired Henri Matisse ti be an artist ?
__label__1 , Sasha obamas birthday ?
__label__1 , Is china north of the eqauter ?
__label__1 , Normal height of the house ?
__label__2 , What is the function of a prostrate gland ?
__label__2 , What climate do green iguanas live in ?
__label__1 , How many medals mark todd won in his life at the olympics ?
__label__1 , What is the smallest county is england ?
__label__1 , What is the name of the world s largest bay ?
__label__1 , Richard wagner was bornin which country ?
__label__1 , What is competition in biloligy ?
__label__1 , How do you describ coastal plains ?
__label__1 , What is the main economyin france ?
__label__1 , What are scotlands technology ?
__label__2 , How will geography affect Urbanization ?
__label__1 , What planet has the less gravity ?
__label__1 , Ten points on save girl child ?
__label__1 , The shapes of dna allows it to do what ?
__label__1 , Most important invention in the 20th century ?
__label__1 , What temperature does an egg needs to hatch ?
__label__1 , The film industry ?
__label__2 , Who invented flares ?
__label__1 , How do you Change Fuel Pump on Subaru Legacy ?
__label__1 , What is columbias official language ?
__label__2 , What are the two biggest world religions ?
__label__2 , What date did Theo Van Gogh die ?
__label__1 , What do sea dragon live ?
__label__2 , Number of calories in feta cheese ?
__label__2 , How many calories in a Junior Whopper without mayo ?
__label__1 , Air distance between washington dc to moscow russia ?
__label__1 , Avarage gas tank on SUV ?
__label__1 , What is the healthiest breakfast cerial ?
__label__2 , How do you change oil on a 2000 saturn ion ?
__label__1 , Where did buddhism and hiduism begin ?
__label__2 , What is the meaning of indirect measurement ?
__label__1 , How many gay in america ?
__label__2 , Who invented the Polaroid camera in 1944 ?
__label__1 , What is italy ` slocation ?
__label__1 , 1 book by JK Rowling ?
__label__1 , Nickelback the band 's lead singer is . . ?
__label__2 , What is the statue of limitations on rape in Ohio ?
__label__2 , Where is the oli drain plug on a husqvarna ?
__label__2 , What date was Glasnost ?
__label__1 , The smalest members or your solar system include ?
__label__2 , How much money do prosthodontics earn every year ?
__label__2 , What is the meaning of the coefficient in a chemical equation ?
__label__2 , What are the principal greenhouse gases ?
__label__2 , How do crocodiles survive exteme temputure ?
__label__2 , Can red ear slider turtles eat bananas ?
__label__1 , Strongest huricane is what category ?
